,grid_point,latitude,longitude,valid_datetime,batch_datetime,wind_speed_10m,wind_speed_50m,wind_blast_speed_10m,t_instant_ground_2m,td_instant_ground_2m,pres_instant_sea_0m,pres_instant_ground_0m,r_instant_ground_2m,rain_instant_ground_0m,grad_accum_ground_0m,tcc_instant_ground_0m,vis_instant_ground_0m
65,136141,52.105,5.18,2022-04-01 00:00:00+00:00,2022-03-31 06:00:00+00:00,8.044762,11.068212,14.847122,272.98926,270.76767,100547.24,100490.625,0.85022616,0.0,0.0,1.0,2129.8079
66,136141,52.105,5.18,2022-04-01 01:00:00+00:00,2022-03-31 06:00:00+00:00,7.791872,10.692602,14.804375,272.82495,270.92078,100569.07,100512.31,0.87067264,0.0,0.0,1.0,1823.2345
68,136141,52.105,5.18,2022-04-01 03:00:00+00:00,2022-03-31 06:00:00+00:00,7.5962586,10.485256,14.037093,272.45215,270.457,100635.94,100579.25,0.8644929,0.0,0.0,1.0,1941.4137
69,136141,52.105,5.18,2022-04-01 04:00:00+00:00,2022-03-31 06:00:00+00:00,7.406757,10.265623,14.014841,272.4214,270.1041,100704.81,100648.125,0.8439854,0.0,0.0,1.0,2594.193
70,136141,52.105,5.18,2022-04-01 05:00:00+00:00,2022-03-31 06:00:00+00:00,7.249617,10.082529,13.589243,272.69434,269.99088,100792.75,100735.94,0.8204107,0.0,0.0,1.0,3204.2988
71,136141,52.105,5.18,2022-04-01 06:00:00+00:00,2022-03-31 06:00:00+00:00,7.4041862,10.359284,13.633956,272.95068,269.34274,100879.75,100822.94,0.7668829,0.0,30639.0,1.0,5008.4824
67,136141,52.105,5.18,2022-04-01 02:00:00+00:00,2022-03-31 06:00:00+00:00,7.5936985,10.435074,14.395667,272.6101,270.8946,100597.8,100541.125,0.88249815,0.0,0.0,1.0,1708.4465
246,136141,52.105,5.18,2022-04-02 05:00:00+00:00,2022-04-01 06:00:00+00:00,2.0778105,5.1145587,3.9448411,271.83423,268.39392,101783.74,101727.56,0.7757482,0.0,0.0,0.98547363,50000.0
225,136141,52.105,5.18,2022-04-01 08:00:00+00:00,2022-04-01 06:00:00+00:00,8.290486,11.270136,15.495393,274.77124,269.62204,100962.68,100905.94,0.6864537,0.0,745485.2,0.9997864,50000.0
226,136141,52.105,5.18,2022-04-01 09:00:00+00:00,2022-04-01 06:00:00+00:00,8.4970255,11.54648,16.033085,275.65063,269.17203,101005.15,100948.375,0.6232203,4.7683716e-07,1279863.8,0.99993896,50000.0
227,136141,52.105,5.18,2022-04-01 10:00:00+00:00,2022-04-01 06:00:00+00:00,8.362258,11.352659,16.134836,276.14258,269.329,101095.84,101039.31,0.6089986,2.2351742e-06,1474333.4,0.9998474,50000.0
228,136141,52.105,5.18,2022-04-01 11:00:00+00:00,2022-04-01 06:00:00+00:00,8.270783,11.213896,15.836979,276.18604,270.09164,101124.92,101068.56,0.64239943,6.556511e-06,1459313.9,0.9999695,50000.0
